epid,mep,country,group,committees,dossier,title,role,topic,location,mep2,lobbyists,date
125106,Johan VAN OVERTVELDT,Belgium,ECR,,,Bezoekersgroep VVB,Member,, - European Parliament,Johan VAN OVERTVELDT,Vlaamse Volksbeweging,2019-11-27T00:00:00
125106,Johan VAN OVERTVELDT,Belgium,ECR,['TRAN'],,"CEF-budget, TEN-T, vergroening scheepvaart en geopolitiek in transportbeleid.",Member,, - Europees Parlement,Johan VAN OVERTVELDT,ESPO,2019-11-05T00:00:00
125106,Johan VAN OVERTVELDT,Belgium,ECR,['ECON'],,EP's Annual report on the ECB,Shadow rapporteur,- EP's Annual report on the ECB, - European Parliament,Johan VAN OVERTVELDT,Positive Money Europe,2019-11-05T00:00:00
125106,Johan VAN OVERTVELDT,Belgium,ECR,['TRAN'],,Exchange of views on future mobility issues,Member,, - European Parliament,Johan VAN OVERTVELDT,"FIA, Touring",2019-11-05T00:00:00
125106,Johan VAN OVERTVELDT,Belgium,ECR,['TRAN'],,Exchange of views on various aviation topics for the upcoming legislative period,Member,, - European Parliament,Johan VAN OVERTVELDT,Luftansa,2019-10-24T00:00:00
125106,Johan VAN OVERTVELDT,Belgium,ECR,['ECON'],,Exchange of views on Brexit,Member,,"- Hilton Hotel, Avenue Herrenschmidt 1, Strasbourg, France",Johan VAN OVERTVELDT,"British Chamber of Commerce - Belgium, VOKA",2019-10-23T00:00:00
125106,Johan VAN OVERTVELDT,Belgium,ECR,['ECON'],,Brexit - CCP Recovery & Resolution - AOB - EU clearing,Member,, - European Parliament,Johan VAN OVERTVELDT,FIA,2019-10-16T00:00:00
125106,Johan VAN OVERTVELDT,Belgium,ECR,,,Klimaatdividend,Member,, - European Parliament,Johan VAN OVERTVELDT,"Kristof Descheemaeker, Johan Coolen",2019-10-15T00:00:00
125106,Johan VAN OVERTVELDT,Belgium,ECR,['TRAN'],,Flemish civil aviation,Member,, - European Parliament,Johan VAN OVERTVELDT,AeroSpace and Defence Industries Association of Europe,2019-10-15T00:00:00
125106,Johan VAN OVERTVELDT,Belgium,ECR,,,"Toekomstvisie en de beleidsprioriteiten voor de chemie-, kunststoffen- en farmasector in België en in europa",Member,,"- Bibliotheek Solvay, Leopoldpark, Belliardstraat 137, Brussel.",Johan VAN OVERTVELDT,Essencia,2019-10-15T00:00:00
125106,Johan VAN OVERTVELDT,Belgium,ECR,,,Conference: Sustainable green financing in the cohesion countries.,Member,,- Globsec Tatra Summit 2019 - Slovakia,Johan VAN OVERTVELDT,"Ministers of Finance of the cohesion countries, Business stakeholders,",2019-10-11T00:00:00
125106,Johan VAN OVERTVELDT,Belgium,ECR,,,Speaker Panel Debate: Preparing for the next recession?,Member,,- Globsec Tatra Summit 2019,Johan VAN OVERTVELDT,Tatra Summit,2019-10-11T00:00:00
125106,Johan VAN OVERTVELDT,Belgium,ECR,['ECON'],,CLO's,Member,, - Conference Call,Johan VAN OVERTVELDT,UBS,2019-10-09T00:00:00
125106,Johan VAN OVERTVELDT,Belgium,ECR,,,International political and economic situation,Member,, - European Parliament,Johan VAN OVERTVELDT,US Embassy - Pieter-Jan Van Steenkiste,2019-10-02T00:00:00
125106,Johan VAN OVERTVELDT,Belgium,ECR,['TRAN'],,Freedom Drive,Member,, - European Parliament,Johan VAN OVERTVELDT,ENIL,2019-10-01T00:00:00
125106,Johan VAN OVERTVELDT,Belgium,ECR,['TRAN'],,Vision on waterway transport,Member,, - European Parliament,Johan VAN OVERTVELDT,Inland Navigation Europe,2019-09-26T00:00:00
125106,Johan VAN OVERTVELDT,Belgium,ECR,,,Interview,Member,, - European Parliament,Johan VAN OVERTVELDT,Doorbraak,2019-09-25T00:00:00
125106,Johan VAN OVERTVELDT,Belgium,ECR,['ECON'],,CLO’s and leveraged loans,Member,, - Conference Call,Johan VAN OVERTVELDT,UBS,2019-09-24T00:00:00
125106,Johan VAN OVERTVELDT,Belgium,ECR,['ECON'],,Development of Capital Markets,Member,, - European Parliament,Johan VAN OVERTVELDT,Investment Company Institute (ICI),2019-09-18T00:00:00
125106,Johan VAN OVERTVELDT,Belgium,ECR,['ECON'],,New priorities of the new European Parliament and ECON Committee,Member,, - European Parliament,Johan VAN OVERTVELDT,"JP Morgan, Vittorio Grilli",2019-09-16T00:00:00
125106,Johan VAN OVERTVELDT,Belgium,ECR,,,Presentation of the food industry and its priorities for next years,Member,,"- Maison Kammerzell, Place de la Cathédrale 16, Strasbourg",Johan VAN OVERTVELDT,FEVIA,2019-09-16T00:00:00
125106,Johan VAN OVERTVELDT,Belgium,ECR,,,Prioirities for the industry,Member,, - BASF Antwerpen,Johan VAN OVERTVELDT,Wouter De Geest,2019-09-13T00:00:00
125106,Johan VAN OVERTVELDT,Belgium,ECR,['TRAN'],,Vlaamse scheepvaart,Member,,"- Redershuis, Ernest Van Dijckkaai 8, Antwerpen",Johan VAN OVERTVELDT,Belgische Redersfederatie,2019-09-06T00:00:00
125106,Johan VAN OVERTVELDT,Belgium,ECR,,,International economic situation,Member,, - European Parliament,Johan VAN OVERTVELDT,Anthony De Lannoy - Executive Director IMF,2019-09-02T00:00:00
124696,Andrus ANSIP,Estonia,RE,,,Meeting with Confederation of Finnish Industries EK,Member,, - Strasbourg,Andrus ANSIP,"Kati Ruohomäki, Karoliina Rasi, Petri Vuorio",2019-12-18T00:00:00
124696,Andrus ANSIP,Estonia,RE,,,Meeting with EuroCommerce and Amazon,Member,, - Strasbourg,Andrus ANSIP,"Neil McMillan, Christian Verschueren",2019-12-17T00:00:00
124696,Andrus ANSIP,Estonia,RE,,,Meeting with e-riigi Akadeemia,Member,, - Brussels,Andrus ANSIP,"Liia Hänni, Jelizaveta Krenjova-Cepilova",2019-12-09T00:00:00
124696,Andrus ANSIP,Estonia,RE,,,Meeting with Ericsson,Member,, - Brussels,Andrus ANSIP,"Rene Summer, Larisa Pircalabelu",2019-12-09T00:00:00
124696,Andrus ANSIP,Estonia,RE,,,Meeting with Tieto Corporation and Public Affairs,Member,, - Brussels,Andrus ANSIP,"Christian Guttmann, Petja Piilola",2019-12-03T00:00:00
124696,Andrus ANSIP,Estonia,RE,,,Meeting with AmCham,Member,, - Strasbourg,Andrus ANSIP,"Edward Haynes (AmCham EU), Aliki Foinikopoulou (Salesforce), Cate Nymann (Cisco), Claudia Selli (AT&T)",2019-11-27T00:00:00
124696,Andrus ANSIP,Estonia,RE,,,Meeting with La Poste,Member,, - Strasbourg,Andrus ANSIP,"Claire Broussaudier, Jean Paul Forceville",2019-11-26T00:00:00
124696,Andrus ANSIP,Estonia,RE,,,Meeting with Teeme Ära SA,Member,, - Brussels,Andrus ANSIP,Kadri Kalle,2019-11-13T00:00:00
124696,Andrus ANSIP,Estonia,RE,,,Meeting with Ministry of Economic Affairs and Employment of Finland,Member,, - Strasbourg,Andrus ANSIP,"Hannele Timonen, Isabella Paju",2019-10-22T00:00:00
124696,Andrus ANSIP,Estonia,RE,,,Meeting with Schibsted,Member,, - Brussels,Andrus ANSIP,Petra Wikstrom,2019-10-01T00:00:00
124696,Andrus ANSIP,Estonia,RE,,,Meeting with TechUK,Member,, - Brussels,Andrus ANSIP,Sabina Ciofu,2019-10-01T00:00:00
124696,Andrus ANSIP,Estonia,RE,,,Meeting with GSMA,Member,, - Strasbourg,Andrus ANSIP,"Tomas Jakimavicius, Maria Sotiriou",2019-09-17T00:00:00
124696,Andrus ANSIP,Estonia,RE,,,Meeting with IMPALA,Member,, - Brussels,Andrus ANSIP,"Angel Labrusse, Helen Smith",2019-09-04T00:00:00
124696,Andrus ANSIP,Estonia,RE,,,Meeting with Regavim,Member,, - Brussels,Andrus ANSIP,"Naomi Linder Kahn, Jenny Aharon, Meir Deutsch",2019-09-04T00:00:00
124696,Andrus ANSIP,Estonia,RE,,,Meeting with Vodafone,Member,, - Brussels,Andrus ANSIP,"Joakim Reiter, Agnieszka Skorupinska",2019-09-04T00:00:00
124696,Andrus ANSIP,Estonia,RE,,,Meeting with EuroISPA,Member,, - Brussels,Andrus ANSIP,"Annie Deadman, Innecenzo Genna, Dr. Maximilian Schubert, Alexandra Lafitte",2019-07-22T00:00:00
124696,Andrus ANSIP,Estonia,RE,,,Meeting with European Telecommunications Network Operators' Association,Member,, - Brussels,Andrus ANSIP,"Lise Fuhr,, Alessandro Gropelli",2019-07-22T00:00:00
124696,Andrus ANSIP,Estonia,RE,,,Society of Audiovisual Authors,Member,, - Brussels,Andrus ANSIP,Cécile Despringre,2019-07-22T00:00:00
124696,Andrus ANSIP,Estonia,RE,,,Meeting with EuroCommerce,Member,, - Strasbourg,Andrus ANSIP,"Hendrik Jan van Oostrum (Ahold Delhaize), Constatin Gissler (amazon), Christian Verschueren (EuroCommerce), Patricia E.H Hoogstraaten Rae (Vakcentrum)",2019-07-17T00:00:00
124696,Andrus ANSIP,Estonia,RE,,,Meeting with DIGITALEUROPE,Member,, - Strasbourg,Andrus ANSIP,"Adele Naudy Chambaud (Schneider Electric), Larisa Pircalabelu (Ericsson), Matti Mannonen (Technology Industries of Finland), Ray Pinto (DIGITALEUROPE), Cecilia Bonefeld-Dahl (DIGITALEUROPE)",2019-07-16T00:00:00
124696,Andrus ANSIP,Estonia,RE,,,Meeting with Europan Holiday Home Association,Member,, - Strasbourg,Andrus ANSIP,"Viktorija Molnar (EHHA), Georgina Browes (airbnb), Ana Perdigao (Expedia Group)",2019-07-16T00:00:00
124696,Andrus ANSIP,Estonia,RE,,,Meeting with European Broadcasting Union,Member,, - Strasbourg,Andrus ANSIP,"Nicola Frank, Vincent Sneed, Wouter Gekiere",2019-07-16T00:00:00
124696,Andrus ANSIP,Estonia,RE,,,Meeting with Microsoft,Member,, - Strasbourg,Andrus ANSIP,"John Frank, Microsoft Vice-President",2019-07-03T00:00:00
22858,Fabienne KELLER,France,RE,['LIBE'],,Asile et Migration,Member,, - Parlement Européen - Bruxelles,Fabienne KELLER,"DG Elargissemnt, Commission Européenne",2019-12-04T00:00:00
22858,Fabienne KELLER,France,RE,['BUDG'],,Journée européenne des PME,Member,, - Bruxelles,Fabienne KELLER,Confédération des Petites et Moyennes Entreprises - CPME,2019-12-04T00:00:00
22858,Fabienne KELLER,France,RE,['LIBE'],,Migration et Frontières,Member,, - Parlement Européen - Bruxelles,Fabienne KELLER,Agence Frontex,2019-11-13T00:00:00
22858,Fabienne KELLER,France,RE,['LIBE'],,Asile et Migration et situation en Grèce,Member,, - Parlement Européen - Bruxelles,Fabienne KELLER,ONG Human Rights Watch,2019-11-12T00:00:00
22858,Fabienne KELLER,France,RE,,,La place des territoires et de la ruralité dans les politiques européennes 2021-2027,Member,, - Parlement Européen- Strasbourg,Fabienne KELLER,L'Association National des Pôles d'équilibre territoriaux et ruraux et des Pays,2019-10-23T00:00:00
22858,Fabienne KELLER,France,RE,['LIBE'],,Sujets: Asile et Migration,Member,, - Parlement Européen - Bruxelles,Fabienne KELLER,"Marteen Grothuizen, Membre du Parlement Néerlandais",2019-10-07T00:00:00
22858,Fabienne KELLER,France,RE,,,"Forum d'échange entre collectivités européennes et chinoises ""Euro-China Greens & Smart Cities"", dans le cadre des programmes européens de coopération UE-Chine. Invitation en lien avec mon expérience de Maire de Strasbourg et de Députée européenne, aux côtés de l'Ambassadeur de l'UE en Chine et de Jean-Pierre Raffarin, Président de la Fondation Prospective & Innovation",Member,, - Nanning (Chine),Fabienne KELLER,"Fondation Prospective & Innovation-FPI, Jean-Pierre Raffarin, Nicolas Chapuis, Ambassadeur de l'UE en Chine, China Centre for Urban Developement-CCUD, National Development and Reform Commission-NDRC",2019-09-27T00:00:00
