mep,epid,country,group,role,dossier,lobbyists,title,committees,location,date
Antonius MANDERS,4560,Netherlands,EPP,Rapporteur,"[""JURI INI report 'Liability of companies for environmental damage'""]",CEFIC,JURI INI report 'Liability of companies for environmental damage',['JURI'],"Rue Belliard 40, Brussels",02/09/2020
Antonius MANDERS,4560,Netherlands,EPP,Member,['EP IMCO INI report “Towards a more sustainable single market for businesses and consumers”'],Detailhandel Nederland,EP IMCO INI report “Towards a more sustainable single market for businesses and consumers”,['IMCO'],"Beer Factory, Place du Luxembourg, Brussels",31/08/2020
Rovana PLUMB,38595,Romania,S&D,Member,[''],ALRO SA,Just transition mechanism and climate change,['REGI'],European Parliament,18/02/2020
Rovana PLUMB,38595,Romania,S&D,Member,[''],Gas Infrastructure Europe,"Gas transport, storage and LNG linked with the Green Deal objectives",['ENVI'],European Parliament,12/02/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,Rapporteur,['CRR'],European Banking Federation,CRR Quick Fix,['ECON'],Webmeeting,25/05/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,Rapporteur,['CRR'],AFME,CRR Quick Fix,['ECON'],Webmeeting,19/05/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,,Natuurpunt,Gmeenschappelijk landbouwbeleid 2020,,Webmeeting,04/05/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,"['', '']",VKW Limburg,Huidige economische en financiële situatie,"['BUDG', 'ECON']",Webmeeting,22/04/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,"['', '']",Professor of Economics at the Northwestern University,"International economic, financial and monetary situation","['BUDG', 'ECON']",Northwestern University,06/03/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,"['', '']","Assistant Professor of Economics at the Loyola University of Maryland, Sellinger School of Business","International economic, financial and monetary situation","['BUDG', 'ECON']",Loyola University of Maryland,06/03/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,"['', '']",Staff of Federal Reserve Bank of Chicago,"International economic, financial and monetary situation","['BUDG', 'ECON']",Federal Reserve Bank of Chicago,06/03/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,"['', '']",Professors of Finance and Economics at the University of Chicago Booth School of Business,"International economic, financial and monetary situation","['BUDG', 'ECON']",University of Chicago Booth School of Business,05/03/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,"['', '']",Professor Economics at the University of Chicago,"International economic, financial and monetary situation","['BUDG', 'ECON']",University of Chicago,05/03/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,"['', '']","Professor of Economics, Public Policy and Finance at Princeton University","International economic, financial and monetary situation","['BUDG', 'ECON']",Princeton University,03/03/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,"['', '']",Professor at the University of Chicago Booth School of Business,"International economic, financial and monetary situation","['BUDG', 'ECON']",University of Chicago Booth School of Business,03/03/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,,PWC,Financial and economic situation - EU level,,Webmeeting,25/02/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,Rapporteur,['CCP Recovery and Resolution Regulation'],Permanente Vertegenwoordiging van België bij de Europese Unie,CCP Recovery and Resolution Regulation,['ECON'],European Parliament,24/02/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,[''],European Round Table for Industry,Financial and economic situation - EU level,['ECON'],European Parliament,19/02/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,Rapporteur,['Framework for the recovery and resolution of central counterparties'],"JP Morgan, Fleishman Hilliard",Framework for the recovery and resolution of central counterparties,['ECON'],European Parliament,05/02/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,Rapporteur,['Framework for the recovery and resolution of central counterparties'],EACH,Framework for the recovery and resolution of central counterparties,['ECON'],European Parliament,05/02/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,['Framework for the recovery and resolution of central counterparties'],Itinera,CCP Recovery and Resolution Regulation,['ECON'],European Parliament,23/01/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,[''],Skeyes,Toekomstvisie,['TRAN'],European Parliament,23/01/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,Shadow rapporteur,['Framework for the recovery and resolution of central counterparties'],European Banking Federation (EBF),CCP Recovery and Resolution Regulation,['ECON'],European Parliament,09/01/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,[''],Arcelor Mittal,Financial and economic situation - national and EU level,['ECON'],European Parliament,09/01/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,[''],EY,Productivity and economic growth,['ECON'],European Parliament,09/01/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,[''],Instituut van de bedrijfsrevisoren,Uitdagingen van het beroep van auditor op Europees niveau,['ECON'],European Parliament,09/01/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,[''],NMBS,Belgische spoorwegen: toekomstvisie,['TRAN'],NMBS offices,08/01/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,[''],European Barge Union (EBU),Belgische Binnenvaart,['TRAN'],European Parliament,07/01/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,"['', '']",HSBC,Financial and economic situation - national and EU level,"['BUDG', 'ECON']",European Parliament,07/01/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,[''],BNP Paribas Fortis,Financial and economic situation - national and EU level,['BUDG'],European Parliament,13/12/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,['Annual competition report'],Amazon,Reform of competition law.,['ECON'],European Parliament,11/12/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,[''],BlackRock,Re leveraged loans and CLOs - conference call,['ECON'],European Parliament,10/12/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,[''],Dexia,Financial and economic situation - national and EU level,['BUDG'],Dexia,09/12/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,[''],KBC,Financial and economic situation - national and EU level,['BUDG'],KBC,04/12/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,Committee chair,['MFF'],Business Europe,Multi Financial Framework,['BUDG'],European Parliament,04/12/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,,Vlaamse Volksbeweging,Bezoekersgroep VVB,,European Parliament,27/11/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,[''],ESPO,"CEF-budget, TEN-T, vergroening scheepvaart en geopolitiek in transportbeleid.",['TRAN'],Europees Parlement,05/11/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,Shadow rapporteur,"[""EP's Annual report on the ECB""]",Positive Money Europe,EP's Annual report on the ECB,['ECON'],European Parliament,05/11/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,[''],"FIA, Touring",Exchange of views on future mobility issues,['TRAN'],European Parliament,05/11/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,[''],Luftansa,Exchange of views on various aviation topics for the upcoming legislative period,['TRAN'],European Parliament,24/10/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,[''],"British Chamber of Commerce - Belgium, VOKA",Exchange of views on Brexit,['ECON'],"Hilton Hotel, Avenue Herrenschmidt 1, Strasbourg, France",23/10/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,[''],FIA,Brexit - CCP Recovery & Resolution - AOB - EU clearing,['ECON'],European Parliament,16/10/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,,"Kristof Descheemaeker, Johan Coolen",Klimaatdividend,,European Parliament,15/10/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,[''],AeroSpace and Defence Industries Association of Europe,Flemish civil aviation,['TRAN'],European Parliament,15/10/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,,Essencia,"Toekomstvisie en de beleidsprioriteiten voor de chemie-, kunststoffen- en farmasector in België en in europa",,"Bibliotheek Solvay, Leopoldpark, Belliardstraat 137, Brussel.",15/10/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,,"Ministers of Finance of the cohesion countries, Business stakeholders,",Conference: Sustainable green financing in the cohesion countries.,,Globsec Tatra Summit 2019 - Slovakia,11/10/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,,Tatra Summit,Speaker Panel Debate: Preparing for the next recession?,,Globsec Tatra Summit 2019,11/10/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,[''],UBS,CLO's,['ECON'],Conference Call,09/10/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,,US Embassy - Pieter-Jan Van Steenkiste,International political and economic situation,,European Parliament,02/10/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,[''],ENIL,Freedom Drive,['TRAN'],European Parliament,01/10/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,[''],Inland Navigation Europe,Vision on waterway transport,['TRAN'],European Parliament,26/09/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,,Doorbraak,Interview,,European Parliament,25/09/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,[''],UBS,CLO’s and leveraged loans,['ECON'],Conference Call,24/09/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,[''],Investment Company Institute (ICI),Development of Capital Markets,['ECON'],European Parliament,18/09/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,[''],"JP Morgan, Vittorio Grilli",New priorities of the new European Parliament and ECON Committee,['ECON'],European Parliament,16/09/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,,FEVIA,Presentation of the food industry and its priorities for next years,,"Maison Kammerzell, Place de la Cathédrale 16, Strasbourg",16/09/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,,Wouter De Geest,Prioirities for the industry,,BASF Antwerpen,13/09/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,[''],Belgische Redersfederatie,Vlaamse scheepvaart,['TRAN'],"Redershuis, Ernest Van Dijckkaai 8, Antwerpen",06/09/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,Member,,Anthony De Lannoy - Executive Director IMF,International economic situation,,European Parliament,02/09/2019
Andrus ANSIP,124696,Estonia,RE,Member,,"Sophie Compagnon, Romain Lerallut, Liva Ralaivola",Meeting with Criteo,,"Brussels, online",10/09/2020
Andrus ANSIP,124696,Estonia,RE,Member,,Hendrik Bourgeois,Meeting with Apple,,"Brussels, online",08/09/2020
Andrus ANSIP,124696,Estonia,RE,Member,,Jan Gütter,Meeting with AMD,,Brussels,07/07/2020
Andrus ANSIP,124696,Estonia,RE,Member,,"Claire Anne Valérie Dilé, Ania Helseth",Meeting with Facebook,,Brussels,30/06/2020
Andrus ANSIP,124696,Estonia,RE,Member,,"Kirsty Ireland, Martin Nolan",Meeting with Skyscanner,,Brussels,30/06/2020
Andrus ANSIP,124696,Estonia,RE,Member,,"Jim Shaughnessy, Jason Albert",Meeting with Workday,,Brussels,10/06/2020
Andrus ANSIP,124696,Estonia,RE,Member,,"Andreas Aktoudianakis, Mackenzie Nelson",Meeting with European Policy Centre and Algorithm Watch,,Brussels,09/06/2020
Andrus ANSIP,124696,Estonia,RE,Member,,"Peter Ekelund, Jan Nilsson",Meeting with StreamAnalyze,,Brussels,26/05/2020
Andrus ANSIP,124696,Estonia,RE,Member,,"Claire Dile, Ania Helseth",Meeting with Facebook,,Brussels,14/05/2020
Andrus ANSIP,124696,Estonia,RE,Member,,Joakim Reiter,Meeting with Vodafone,,Brussels,11/05/2020
Andrus ANSIP,124696,Estonia,RE,Member,,"Casper Klynge, Quang-Minh Lepescheux",Meeting with Microsoft,,Brussels,22/04/2020
Andrus ANSIP,124696,Estonia,RE,Member,,Jaymeen Patel,Meeting wirh LVMH,,Brussels,20/02/2020
