mep,epid,country,group,dossier,lobbyists,title,committees,location,role,date
Antonius MANDERS,4560,Netherlands,EPP,"[""JURI INI report 'Liability of companies for environmental damage'""]",CEFIC,JURI INI report 'Liability of companies for environmental damage',['JURI'],"Rue Belliard 40, Brussels",Rapporteur,02/09/2020
Antonius MANDERS,4560,Netherlands,EPP,['EP IMCO INI report “Towards a more sustainable single market for businesses and consumers”'],Detailhandel Nederland,EP IMCO INI report “Towards a more sustainable single market for businesses and consumers”,['IMCO'],"Beer Factory, Place du Luxembourg, Brussels",Member,31/08/2020
Rovana PLUMB,38595,Romania,S&D,[''],ALRO SA,Just transition mechanism and climate change,['REGI'],European Parliament,Member,18/02/2020
Rovana PLUMB,38595,Romania,S&D,[''],Gas Infrastructure Europe,"Gas transport, storage and LNG linked with the Green Deal objectives",['ENVI'],European Parliament,Member,12/02/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,['CRR'],European Banking Federation,CRR Quick Fix,['ECON'],Webmeeting,Rapporteur,25/05/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,['CRR'],AFME,CRR Quick Fix,['ECON'],Webmeeting,Rapporteur,19/05/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,,Natuurpunt,Gmeenschappelijk landbouwbeleid 2020,,Webmeeting,Member,04/05/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,"['', '']",VKW Limburg,Huidige economische en financiële situatie,"['BUDG', 'ECON']",Webmeeting,Member,22/04/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,"['', '']",Professor of Economics at the Northwestern University,"International economic, financial and monetary situation","['BUDG', 'ECON']",Northwestern University,Member,06/03/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,"['', '']","Assistant Professor of Economics at the Loyola University of Maryland, Sellinger School of Business","International economic, financial and monetary situation","['BUDG', 'ECON']",Loyola University of Maryland,Member,06/03/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,"['', '']",Staff of Federal Reserve Bank of Chicago,"International economic, financial and monetary situation","['BUDG', 'ECON']",Federal Reserve Bank of Chicago,Member,06/03/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,"['', '']",Professors of Finance and Economics at the University of Chicago Booth School of Business,"International economic, financial and monetary situation","['BUDG', 'ECON']",University of Chicago Booth School of Business,Member,05/03/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,"['', '']",Professor Economics at the University of Chicago,"International economic, financial and monetary situation","['BUDG', 'ECON']",University of Chicago,Member,05/03/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,"['', '']","Professor of Economics, Public Policy and Finance at Princeton University","International economic, financial and monetary situation","['BUDG', 'ECON']",Princeton University,Member,03/03/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,"['', '']",Professor at the University of Chicago Booth School of Business,"International economic, financial and monetary situation","['BUDG', 'ECON']",University of Chicago Booth School of Business,Member,03/03/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,,PWC,Financial and economic situation - EU level,,Webmeeting,Member,25/02/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,['CCP Recovery and Resolution Regulation'],Permanente Vertegenwoordiging van België bij de Europese Unie,CCP Recovery and Resolution Regulation,['ECON'],European Parliament,Rapporteur,24/02/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,[''],European Round Table for Industry,Financial and economic situation - EU level,['ECON'],European Parliament,Member,19/02/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,['Framework for the recovery and resolution of central counterparties'],"JP Morgan, Fleishman Hilliard",Framework for the recovery and resolution of central counterparties,['ECON'],European Parliament,Rapporteur,05/02/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,['Framework for the recovery and resolution of central counterparties'],EACH,Framework for the recovery and resolution of central counterparties,['ECON'],European Parliament,Rapporteur,05/02/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,['Framework for the recovery and resolution of central counterparties'],Itinera,CCP Recovery and Resolution Regulation,['ECON'],European Parliament,Member,23/01/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,[''],Skeyes,Toekomstvisie,['TRAN'],European Parliament,Member,23/01/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,['Framework for the recovery and resolution of central counterparties'],European Banking Federation (EBF),CCP Recovery and Resolution Regulation,['ECON'],European Parliament,Shadow rapporteur,09/01/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,[''],Arcelor Mittal,Financial and economic situation - national and EU level,['ECON'],European Parliament,Member,09/01/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,[''],EY,Productivity and economic growth,['ECON'],European Parliament,Member,09/01/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,[''],Instituut van de bedrijfsrevisoren,Uitdagingen van het beroep van auditor op Europees niveau,['ECON'],European Parliament,Member,09/01/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,[''],NMBS,Belgische spoorwegen: toekomstvisie,['TRAN'],NMBS offices,Member,08/01/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,[''],European Barge Union (EBU),Belgische Binnenvaart,['TRAN'],European Parliament,Member,07/01/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,"['', '']",HSBC,Financial and economic situation - national and EU level,"['BUDG', 'ECON']",European Parliament,Member,07/01/2020
Johan VAN OVERTVELDT,125106,Belgium,ECR,[''],BNP Paribas Fortis,Financial and economic situation - national and EU level,['BUDG'],European Parliament,Member,13/12/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,['Annual competition report'],Amazon,Reform of competition law.,['ECON'],European Parliament,Member,11/12/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,[''],BlackRock,Re leveraged loans and CLOs - conference call,['ECON'],European Parliament,Member,10/12/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,[''],Dexia,Financial and economic situation - national and EU level,['BUDG'],Dexia,Member,09/12/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,[''],KBC,Financial and economic situation - national and EU level,['BUDG'],KBC,Member,04/12/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,['MFF'],Business Europe,Multi Financial Framework,['BUDG'],European Parliament,Committee chair,04/12/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,,Vlaamse Volksbeweging,Bezoekersgroep VVB,,European Parliament,Member,27/11/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,[''],ESPO,"CEF-budget, TEN-T, vergroening scheepvaart en geopolitiek in transportbeleid.",['TRAN'],Europees Parlement,Member,05/11/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,"[""EP's Annual report on the ECB""]",Positive Money Europe,EP's Annual report on the ECB,['ECON'],European Parliament,Shadow rapporteur,05/11/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,[''],"FIA, Touring",Exchange of views on future mobility issues,['TRAN'],European Parliament,Member,05/11/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,[''],Luftansa,Exchange of views on various aviation topics for the upcoming legislative period,['TRAN'],European Parliament,Member,24/10/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,[''],"British Chamber of Commerce - Belgium, VOKA",Exchange of views on Brexit,['ECON'],"Hilton Hotel, Avenue Herrenschmidt 1, Strasbourg, France",Member,23/10/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,[''],FIA,Brexit - CCP Recovery & Resolution - AOB - EU clearing,['ECON'],European Parliament,Member,16/10/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,,"Kristof Descheemaeker, Johan Coolen",Klimaatdividend,,European Parliament,Member,15/10/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,[''],AeroSpace and Defence Industries Association of Europe,Flemish civil aviation,['TRAN'],European Parliament,Member,15/10/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,,Essencia,"Toekomstvisie en de beleidsprioriteiten voor de chemie-, kunststoffen- en farmasector in België en in europa",,"Bibliotheek Solvay, Leopoldpark, Belliardstraat 137, Brussel.",Member,15/10/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,,"Ministers of Finance of the cohesion countries, Business stakeholders,",Conference: Sustainable green financing in the cohesion countries.,,Globsec Tatra Summit 2019 - Slovakia,Member,11/10/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,,Tatra Summit,Speaker Panel Debate: Preparing for the next recession?,,Globsec Tatra Summit 2019,Member,11/10/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,[''],UBS,CLO's,['ECON'],Conference Call,Member,09/10/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,,US Embassy - Pieter-Jan Van Steenkiste,International political and economic situation,,European Parliament,Member,02/10/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,[''],ENIL,Freedom Drive,['TRAN'],European Parliament,Member,01/10/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,[''],Inland Navigation Europe,Vision on waterway transport,['TRAN'],European Parliament,Member,26/09/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,,Doorbraak,Interview,,European Parliament,Member,25/09/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,[''],UBS,CLO’s and leveraged loans,['ECON'],Conference Call,Member,24/09/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,[''],Investment Company Institute (ICI),Development of Capital Markets,['ECON'],European Parliament,Member,18/09/2019
Johan VAN OVERTVELDT,125106,Belgium,ECR,[''],"JP Morgan, Vittorio Grilli",New priorities of the new European Parliament and ECON Committee,['ECON'],European Parliament,Member,16/09/2019
