mep,epid,group,country,lobbyists,dossier,committees,role,title,location,date
Antonius MANDERS,4560,EPP,Netherlands,CEFIC,"[""JURI INI report 'Liability of companies for environmental damage'""]",['JURI'],Rapporteur,JURI INI report 'Liability of companies for environmental damage',"Rue Belliard 40, Brussels",02/09/2020
Antonius MANDERS,4560,EPP,Netherlands,Detailhandel Nederland,['EP IMCO INI report “Towards a more sustainable single market for businesses and consumers”'],['IMCO'],Member,EP IMCO INI report “Towards a more sustainable single market for businesses and consumers”,"Beer Factory, Place du Luxembourg, Brussels",31/08/2020
Rovana PLUMB,38595,S&D,Romania,ALRO SA,[''],['REGI'],Member,Just transition mechanism and climate change,European Parliament,18/02/2020
Rovana PLUMB,38595,S&D,Romania,Gas Infrastructure Europe,[''],['ENVI'],Member,"Gas transport, storage and LNG linked with the Green Deal objectives",European Parliament,12/02/2020
Johan VAN OVERTVELDT,125106,ECR,Belgium,European Banking Federation,['CRR'],['ECON'],Rapporteur,CRR Quick Fix,Webmeeting,25/05/2020
Johan VAN OVERTVELDT,125106,ECR,Belgium,AFME,['CRR'],['ECON'],Rapporteur,CRR Quick Fix,Webmeeting,19/05/2020
Johan VAN OVERTVELDT,125106,ECR,Belgium,Natuurpunt,,,Member,Gmeenschappelijk landbouwbeleid 2020,Webmeeting,04/05/2020
Johan VAN OVERTVELDT,125106,ECR,Belgium,VKW Limburg,"['', '']","['BUDG', 'ECON']",Member,Huidige economische en financiële situatie,Webmeeting,22/04/2020
Johan VAN OVERTVELDT,125106,ECR,Belgium,Professor of Economics at the Northwestern University,"['', '']","['BUDG', 'ECON']",Member,"International economic, financial and monetary situation",Northwestern University,06/03/2020
Johan VAN OVERTVELDT,125106,ECR,Belgium,"Assistant Professor of Economics at the Loyola University of Maryland, Sellinger School of Business","['', '']","['BUDG', 'ECON']",Member,"International economic, financial and monetary situation",Loyola University of Maryland,06/03/2020
Johan VAN OVERTVELDT,125106,ECR,Belgium,Staff of Federal Reserve Bank of Chicago,"['', '']","['BUDG', 'ECON']",Member,"International economic, financial and monetary situation",Federal Reserve Bank of Chicago,06/03/2020
Johan VAN OVERTVELDT,125106,ECR,Belgium,Professors of Finance and Economics at the University of Chicago Booth School of Business,"['', '']","['BUDG', 'ECON']",Member,"International economic, financial and monetary situation",University of Chicago Booth School of Business,05/03/2020
Johan VAN OVERTVELDT,125106,ECR,Belgium,Professor Economics at the University of Chicago,"['', '']","['BUDG', 'ECON']",Member,"International economic, financial and monetary situation",University of Chicago,05/03/2020
Johan VAN OVERTVELDT,125106,ECR,Belgium,"Professor of Economics, Public Policy and Finance at Princeton University","['', '']","['BUDG', 'ECON']",Member,"International economic, financial and monetary situation",Princeton University,03/03/2020
Johan VAN OVERTVELDT,125106,ECR,Belgium,Professor at the University of Chicago Booth School of Business,"['', '']","['BUDG', 'ECON']",Member,"International economic, financial and monetary situation",University of Chicago Booth School of Business,03/03/2020
Johan VAN OVERTVELDT,125106,ECR,Belgium,PWC,,,Member,Financial and economic situation - EU level,Webmeeting,25/02/2020
