epid,mep,country,group,dossier,title,lobbyists,committees,location,role,date
38595,Rovana PLUMB,Romania,S&D,[''],Just transition mechanism and climate change,ALRO SA,['REGI'],European Parliament,Member,18/2/2020
38595,Rovana PLUMB,Romania,S&D,[''],"Gas transport, storage and LNG linked with the Green Deal objectives",Gas Infrastructure Europe,['ENVI'],European Parliament,Member,12/2/2020
125106,Johan VAN OVERTVELDT,Belgium,ECR,['CRR'],CRR Quick Fix,European Banking Federation,['ECON'],Webmeeting,Rapporteur,25/5/2020
125106,Johan VAN OVERTVELDT,Belgium,ECR,['CRR'],CRR Quick Fix,AFME,['ECON'],Webmeeting,Rapporteur,19/5/2020
125106,Johan VAN OVERTVELDT,Belgium,ECR,,Gmeenschappelijk landbouwbeleid 2020,Natuurpunt,,Webmeeting,Member,4/5/2020
125106,Johan VAN OVERTVELDT,Belgium,ECR,"['', '']",Huidige economische en financiële situatie,VKW Limburg,"['BUDG', 'ECON']",Webmeeting,Member,22/4/2020
125106,Johan VAN OVERTVELDT,Belgium,ECR,"['', '']","International economic, financial and monetary situation",Professor of Economics at the Northwestern University,"['BUDG', 'ECON']",Northwestern University,Member,6/3/2020
125106,Johan VAN OVERTVELDT,Belgium,ECR,"['', '']","International economic, financial and monetary situation","Assistant Professor of Economics at the Loyola University of Maryland, Sellinger School of Business","['BUDG', 'ECON']",Loyola University of Maryland,Member,6/3/2020
125106,Johan VAN OVERTVELDT,Belgium,ECR,"['', '']","International economic, financial and monetary situation",Staff of Federal Reserve Bank of Chicago,"['BUDG', 'ECON']",Federal Reserve Bank of Chicago,Member,6/3/2020
125106,Johan VAN OVERTVELDT,Belgium,ECR,"['', '']","International economic, financial and monetary situation",Professors of Finance and Economics at the University of Chicago Booth School of Business,"['BUDG', 'ECON']",University of Chicago Booth School of Business,Member,5/3/2020
125106,Johan VAN OVERTVELDT,Belgium,ECR,"['', '']","International economic, financial and monetary situation",Professor Economics at the University of Chicago,"['BUDG', 'ECON']",University of Chicago,Member,5/3/2020
125106,Johan VAN OVERTVELDT,Belgium,ECR,"['', '']","International economic, financial and monetary situation","Professor of Economics, Public Policy and Finance at Princeton University","['BUDG', 'ECON']",Princeton University,Member,3/3/2020
125106,Johan VAN OVERTVELDT,Belgium,ECR,"['', '']","International economic, financial and monetary situation",Professor at the University of Chicago Booth School of Business,"['BUDG', 'ECON']",University of Chicago Booth School of Business,Member,3/3/2020
125106,Johan VAN OVERTVELDT,Belgium,ECR,,Financial and economic situation - EU level,PWC,,Webmeeting,Member,25/2/2020
125106,Johan VAN OVERTVELDT,Belgium,ECR,['CCP Recovery and Resolution Regulation'],CCP Recovery and Resolution Regulation,Permanente Vertegenwoordiging van België bij de Europese Unie,['ECON'],European Parliament,Rapporteur,24/2/2020
125106,Johan VAN OVERTVELDT,Belgium,ECR,[''],Financial and economic situation - EU level,European Round Table for Industry,['ECON'],European Parliament,Member,19/2/2020
125106,Johan VAN OVERTVELDT,Belgium,ECR,['Framework for the recovery and resolution of central counterparties'],Framework for the recovery and resolution of central counterparties,"JP Morgan, Fleishman Hilliard",['ECON'],European Parliament,Rapporteur,5/2/2020
125106,Johan VAN OVERTVELDT,Belgium,ECR,['Framework for the recovery and resolution of central counterparties'],Framework for the recovery and resolution of central counterparties,EACH,['ECON'],European Parliament,Rapporteur,5/2/2020
125106,Johan VAN OVERTVELDT,Belgium,ECR,['Framework for the recovery and resolution of central counterparties'],CCP Recovery and Resolution Regulation,Itinera,['ECON'],European Parliament,Member,23/1/2020
125106,Johan VAN OVERTVELDT,Belgium,ECR,[''],Toekomstvisie,Skeyes,['TRAN'],European Parliament,Member,23/1/2020
125106,Johan VAN OVERTVELDT,Belgium,ECR,['Framework for the recovery and resolution of central counterparties'],CCP Recovery and Resolution Regulation,European Banking Federation (EBF),['ECON'],European Parliament,Shadow rapporteur,9/1/2020
125106,Johan VAN OVERTVELDT,Belgium,ECR,[''],Financial and economic situation - national and EU level,Arcelor Mittal,['ECON'],European Parliament,Member,9/1/2020
125106,Johan VAN OVERTVELDT,Belgium,ECR,[''],Productivity and economic growth,EY,['ECON'],European Parliament,Member,9/1/2020
125106,Johan VAN OVERTVELDT,Belgium,ECR,[''],Uitdagingen van het beroep van auditor op Europees niveau,Instituut van de bedrijfsrevisoren,['ECON'],European Parliament,Member,9/1/2020
125106,Johan VAN OVERTVELDT,Belgium,ECR,[''],Belgische spoorwegen: toekomstvisie,NMBS,['TRAN'],NMBS offices,Member,8/1/2020
125106,Johan VAN OVERTVELDT,Belgium,ECR,[''],Belgische Binnenvaart,European Barge Union (EBU),['TRAN'],European Parliament,Member,7/1/2020
125106,Johan VAN OVERTVELDT,Belgium,ECR,"['', '']",Financial and economic situation - national and EU level,HSBC,"['BUDG', 'ECON']",European Parliament,Member,7/1/2020
125106,Johan VAN OVERTVELDT,Belgium,ECR,[''],Financial and economic situation - national and EU level,BNP Paribas Fortis,['BUDG'],European Parliament,Member,13/12/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,['Annual competition report'],Reform of competition law.,Amazon,['ECON'],European Parliament,Member,11/12/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,[''],Re leveraged loans and CLOs - conference call,BlackRock,['ECON'],European Parliament,Member,10/12/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,[''],Financial and economic situation - national and EU level,Dexia,['BUDG'],Dexia,Member,9/12/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,[''],Financial and economic situation - national and EU level,KBC,['BUDG'],KBC,Member,4/12/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,['MFF'],Multi Financial Framework,Business Europe,['BUDG'],European Parliament,Committee chair,4/12/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,,Bezoekersgroep VVB,Vlaamse Volksbeweging,,European Parliament,Member,27/11/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,[''],"CEF-budget, TEN-T, vergroening scheepvaart en geopolitiek in transportbeleid.",ESPO,['TRAN'],Europees Parlement,Member,5/11/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,"[""EP's Annual report on the ECB""]",EP's Annual report on the ECB,Positive Money Europe,['ECON'],European Parliament,Shadow rapporteur,5/11/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,[''],Exchange of views on future mobility issues,"FIA, Touring",['TRAN'],European Parliament,Member,5/11/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,[''],Exchange of views on various aviation topics for the upcoming legislative period,Luftansa,['TRAN'],European Parliament,Member,24/10/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,[''],Exchange of views on Brexit,"British Chamber of Commerce - Belgium, VOKA",['ECON'],"Hilton Hotel, Avenue Herrenschmidt 1, Strasbourg, France",Member,23/10/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,[''],Brexit - CCP Recovery & Resolution - AOB - EU clearing,FIA,['ECON'],European Parliament,Member,16/10/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,,Klimaatdividend,"Kristof Descheemaeker, Johan Coolen",,European Parliament,Member,15/10/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,[''],Flemish civil aviation,AeroSpace and Defence Industries Association of Europe,['TRAN'],European Parliament,Member,15/10/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,,"Toekomstvisie en de beleidsprioriteiten voor de chemie-, kunststoffen- en farmasector in België en in europa",Essencia,,"Bibliotheek Solvay, Leopoldpark, Belliardstraat 137, Brussel.",Member,15/10/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,,Conference: Sustainable green financing in the cohesion countries.,"Ministers of Finance of the cohesion countries, Business stakeholders,",,Globsec Tatra Summit 2019 - Slovakia,Member,11/10/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,,Speaker Panel Debate: Preparing for the next recession?,Tatra Summit,,Globsec Tatra Summit 2019,Member,11/10/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,[''],CLO's,UBS,['ECON'],Conference Call,Member,9/10/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,,International political and economic situation,US Embassy - Pieter-Jan Van Steenkiste,,European Parliament,Member,2/10/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,[''],Freedom Drive,ENIL,['TRAN'],European Parliament,Member,1/10/2019
