mep,epid,group,party,country,date,location,title,lobbyists,role,dossier,committees,role,Extra info provided in member field,
Niklas NIENASS,197465,Greens / EFA,Bündnis 90/Die Grünen,Germany,12/11/2020,"European Endowment for Democracy, Rue de la Loi 34, 1040 Brussels",Human Rights Situation Central Asia,"European Neighborhood Council, EEAS, CESS, EUCAM Research Fellows",Member,,,Member,,
Joachim SCHUSTER,124837,S&D,Sozialdemokratische Partei Deutschlands,Germany,23/09/2020,European Parliament,Exchange of views,European Investment Bank,Shadow rapporteur,['Financial activities of the European Investment Bank - annual report 2019'],['ECON'],Shadow rapporteur,,
Abir AL-SAHLANI,197400,RE,Centerpartiet,Sweden,24/07/2020,Europaparlamentet,Möte med Europafacket,Europafacket,Member,[''],['EMPL'],Member,,
Alex AGIUS SALIBA,197403,S&D,Partit Laburista,Malta,11/05/2020,Online meeting,DSA report,"EBU, ETNO, EFF- Electronic Frontier Foundation, ACT - Association of Commercial TV in Europe, SKY, IAB Europe, ACT|The App Association, Access Now, IFAW - International Fund for Animal Welfare, Facebook, Spotify",Rapporteur,['DSA report'],['IMCO'],Rapporteur,,
Alex AGIUS SALIBA,197403,S&D,Partit Laburista,Malta,08/05/2020,Online,DSA report,"VOWG, Lighting Europe, Viacom, Expedia Group, CISPE, AIM - European Brands Association, Austrian Association of Cities, German Association of Cities, Snapchat, FESI, AK Europa, 22 Cities",Rapporteur,['DSA report'],['IMCO'],Rapporteur,,
Alice KUHNKE,197395,Greens / EFA,Miljöpartiet de gröna,Sweden,08/05/2020,Online,Gender Equality Strategy Report,CARE International,Shadow rapporteur,['Gender Equality Strategy Report'],['FEMM'],Shadow rapporteur,,
Adrián VÁZQUEZ LÁZARA,204400,RE,Ciudadanos – Partido de la Ciudadanía,Spain,08/05/2020,Online,General exchange of views about the Covid-19 crisis and potential use of technology,Telefónica España,Committee chair,['No specific report'],['JURI'],Committee chair,,
Alex AGIUS SALIBA,197403,S&D,Partit Laburista,Malta,07/05/2020,Online Meeting,DSA report,"Allied 4 startups, AFEP - Association Francaise des enterprise Privees, Eurocinema, Finnish Commerce Federation, Vivendi Group, Canal+ Group, EHHA - European Holiday Homes Association, City of Vienna",Rapporteur,['DSA Report'],['IMCO'],Rapporteur,,
Christian DOLESCHAL,197473,EPP,Christlich-Soziale Union in Bayern e.V.,Germany,07/05/2020,Videocall,The creation of harmonized Norms on the European and national level,German Institute for Standardization (DIN),Rapporteur,['2020/2028(INI) - Implementation report on Regulation (EU) No 305/2011 laying down harmonised conditions for the marketing of construction products (the Construction Products Regulation)'],['IMCO'],Rapporteur,,
Cindy FRANSSEN,197455,EPP,Christen-Democratisch & Vlaams,Belgium,07/05/2020,digitaal,Poverty/ESF,Red Cross EU,Member,,,Member,,
