epid,mep,role,country,group,location,title,lobbyists,mep,dossier,committees,date
38595,Rovana PLUMB,Member,Romania,S&D,European Parliament,Just transition mechanism and climate change,ALRO SA,Rovana PLUMB,[''],['REGI'],18/02/2020
38595,Rovana PLUMB,Member,Romania,S&D,European Parliament,"Gas transport, storage and LNG linked with the Green Deal objectives",Gas Infrastructure Europe,Rovana PLUMB,[''],['ENVI'],12/02/2020
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,Financial and economic situation - EU level,European Round Table for Industry,Johan VAN OVERTVELDT,[''],['ECON'],19/02/2020
125106,Johan VAN OVERTVELDT,Rapporteur,Belgium,ECR,European Parliament,Framework for the recovery and resolution of central counterparties,"JP Morgan, Fleishman Hilliard",Johan VAN OVERTVELDT,['Framework for the recovery and resolution of central counterparties'],['ECON'],05/02/2020
125106,Johan VAN OVERTVELDT,Rapporteur,Belgium,ECR,European Parliament,Framework for the recovery and resolution of central counterparties,EACH,Johan VAN OVERTVELDT,['Framework for the recovery and resolution of central counterparties'],['ECON'],05/02/2020
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,CCP Recovery and Resolution Regulation,Itinera,Johan VAN OVERTVELDT,['Framework for the recovery and resolution of central counterparties'],['ECON'],23/01/2020
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,Toekomstvisie,Skeyes,Johan VAN OVERTVELDT,[''],['TRAN'],23/01/2020
125106,Johan VAN OVERTVELDT,Shadow rapporteur,Belgium,ECR,European Parliament,CCP Recovery and Resolution Regulation,European Banking Federation (EBF),Johan VAN OVERTVELDT,['Framework for the recovery and resolution of central counterparties'],['ECON'],09/01/2020
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,Financial and economic situation - national and EU level,Arcelor Mittal,Johan VAN OVERTVELDT,[''],['ECON'],09/01/2020
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,Productivity and economic growth,EY,Johan VAN OVERTVELDT,[''],['ECON'],09/01/2020
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,Uitdagingen van het beroep van auditor op Europees niveau,Instituut van de bedrijfsrevisoren,Johan VAN OVERTVELDT,[''],['ECON'],09/01/2020
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,NMBS offices,Belgische spoorwegen: toekomstvisie,NMBS,Johan VAN OVERTVELDT,[''],['TRAN'],08/01/2020
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,Belgische Binnenvaart,European Barge Union (EBU),Johan VAN OVERTVELDT,[''],['TRAN'],07/01/2020
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,Financial and economic situation - national and EU level,HSBC,Johan VAN OVERTVELDT,"['', '']","['BUDG', 'ECON']",07/01/2020
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,Financial and economic situation - national and EU level,BNP Paribas Fortis,Johan VAN OVERTVELDT,[''],['BUDG'],13/12/2019
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,Reform of competition law.,Amazon,Johan VAN OVERTVELDT,['Annual competition report'],['ECON'],11/12/2019
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,Re leveraged loans and CLOs - conference call,BlackRock,Johan VAN OVERTVELDT,[''],['ECON'],10/12/2019
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,Dexia,Financial and economic situation - national and EU level,Dexia,Johan VAN OVERTVELDT,[''],['BUDG'],09/12/2019
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,KBC,Financial and economic situation - national and EU level,KBC,Johan VAN OVERTVELDT,[''],['BUDG'],04/12/2019
125106,Johan VAN OVERTVELDT,Committee chair,Belgium,ECR,European Parliament,Multi Financial Framework,Business Europe,Johan VAN OVERTVELDT,['MFF'],['BUDG'],04/12/2019
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,Bezoekersgroep VVB,Vlaamse Volksbeweging,Johan VAN OVERTVELDT,,,27/11/2019
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,Europees Parlement,"CEF-budget, TEN-T, vergroening scheepvaart en geopolitiek in transportbeleid.",ESPO,Johan VAN OVERTVELDT,[''],['TRAN'],05/11/2019
125106,Johan VAN OVERTVELDT,Shadow rapporteur,Belgium,ECR,European Parliament,EP's Annual report on the ECB,Positive Money Europe,Johan VAN OVERTVELDT,"[""EP's Annual report on the ECB""]",['ECON'],05/11/2019
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,Exchange of views on future mobility issues,"FIA, Touring",Johan VAN OVERTVELDT,[''],['TRAN'],05/11/2019
