epid,mep,role,country,group,location,lobbyists,title,dossier,committees,date
38595,Rovana PLUMB,Member,Romania,S&D,European Parliament,ALRO SA,Just transition mechanism and climate change,[''],['REGI'],18/02/2020
38595,Rovana PLUMB,Member,Romania,S&D,European Parliament,Gas Infrastructure Europe,"Gas transport, storage and LNG linked with the Green Deal objectives",[''],['ENVI'],12/02/2020
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,European Round Table for Industry,Financial and economic situation - EU level,[''],['ECON'],19/02/2020
125106,Johan VAN OVERTVELDT,Rapporteur,Belgium,ECR,European Parliament,"JP Morgan, Fleishman Hilliard",Framework for the recovery and resolution of central counterparties,['Framework for the recovery and resolution of central counterparties'],['ECON'],05/02/2020
125106,Johan VAN OVERTVELDT,Rapporteur,Belgium,ECR,European Parliament,EACH,Framework for the recovery and resolution of central counterparties,['Framework for the recovery and resolution of central counterparties'],['ECON'],05/02/2020
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,Itinera,CCP Recovery and Resolution Regulation,['Framework for the recovery and resolution of central counterparties'],['ECON'],23/01/2020
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,Skeyes,Toekomstvisie,[''],['TRAN'],23/01/2020
125106,Johan VAN OVERTVELDT,Shadow rapporteur,Belgium,ECR,European Parliament,European Banking Federation (EBF),CCP Recovery and Resolution Regulation,['Framework for the recovery and resolution of central counterparties'],['ECON'],09/01/2020
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,Arcelor Mittal,Financial and economic situation - national and EU level,[''],['ECON'],09/01/2020
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,EY,Productivity and economic growth,[''],['ECON'],09/01/2020
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,Instituut van de bedrijfsrevisoren,Uitdagingen van het beroep van auditor op Europees niveau,[''],['ECON'],09/01/2020
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,NMBS offices,NMBS,Belgische spoorwegen: toekomstvisie,[''],['TRAN'],08/01/2020
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,European Barge Union (EBU),Belgische Binnenvaart,[''],['TRAN'],07/01/2020
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,HSBC,Financial and economic situation - national and EU level,"['', '']","['BUDG', 'ECON']",07/01/2020
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,BNP Paribas Fortis,Financial and economic situation - national and EU level,[''],['BUDG'],13/12/2019
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,Amazon,Reform of competition law.,['Annual competition report'],['ECON'],11/12/2019
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,BlackRock,Re leveraged loans and CLOs - conference call,[''],['ECON'],10/12/2019
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,Dexia,Dexia,Financial and economic situation - national and EU level,[''],['BUDG'],09/12/2019
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,KBC,KBC,Financial and economic situation - national and EU level,[''],['BUDG'],04/12/2019
125106,Johan VAN OVERTVELDT,Committee chair,Belgium,ECR,European Parliament,Business Europe,Multi Financial Framework,['MFF'],['BUDG'],04/12/2019
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,Vlaamse Volksbeweging,Bezoekersgroep VVB,,,27/11/2019
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,Europees Parlement,ESPO,"CEF-budget, TEN-T, vergroening scheepvaart en geopolitiek in transportbeleid.",[''],['TRAN'],05/11/2019
125106,Johan VAN OVERTVELDT,Shadow rapporteur,Belgium,ECR,European Parliament,Positive Money Europe,EP's Annual report on the ECB,"[""EP's Annual report on the ECB""]",['ECON'],05/11/2019
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,"FIA, Touring",Exchange of views on future mobility issues,[''],['TRAN'],05/11/2019
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,Luftansa,Exchange of views on various aviation topics for the upcoming legislative period,[''],['TRAN'],24/10/2019
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,"Hilton Hotel, Avenue Herrenschmidt 1, Strasbourg, France","British Chamber of Commerce - Belgium, VOKA",Exchange of views on Brexit,[''],['ECON'],23/10/2019
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,FIA,Brexit - CCP Recovery & Resolution - AOB - EU clearing,[''],['ECON'],16/10/2019
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,"Kristof Descheemaeker, Johan Coolen",Klimaatdividend,,,15/10/2019
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,AeroSpace and Defence Industries Association of Europe,Flemish civil aviation,[''],['TRAN'],15/10/2019
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,"Bibliotheek Solvay, Leopoldpark, Belliardstraat 137, Brussel.",Essencia,"Toekomstvisie en de beleidsprioriteiten voor de chemie-, kunststoffen- en farmasector in België en in europa",,,15/10/2019
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,Globsec Tatra Summit 2019 - Slovakia,"Ministers of Finance of the cohesion countries, Business stakeholders,",Conference: Sustainable green financing in the cohesion countries.,,,11/10/2019
