name,id,voted,votes,percent,active
"Emmanouil GLEZOS",1654,1004,963,104.26,False
"Françoise GROSSETÊTE",2025,9686,9746,99.38,True
"Pablo ECHENIQUE",125036,440,443,99.32,False
"Jérôme LAVRILLEUX",124731,9674,9746,99.26,True
"Jens GIESEKE",124807,9670,9746,99.22,True
"Anne SANDER",24594,9668,9746,99.20,True
"Bogdan Andrzej ZDROJEWSKI",124893,9667,9746,99.19,True
"Cristian Dan PREDA",96838,9663,9746,99.15,True
"Renata BRIANO",124787,9661,9746,99.13,True
"Petr JEŽEK",124707,9661,9746,99.13,True
"Christophe HANSEN",193419,2086,2105,99.10,True
"Nicola CAPUTO",124851,9658,9746,99.10,True
"Nicola DANTI",124821,9653,9746,99.05,True
"Pavel TELIČKA",124706,9651,9746,99.03,True
"Isabella DE MONTE",124803,9644,9746,98.95,True
"Edward CZESAK",132925,8757,8855,98.89,True
"Massimiliano SALINI",125670,9637,9746,98.88,True
"Barbara SPINELLI",124810,9621,9746,98.72,True
"Albert DESS",28228,9620,9746,98.71,True
"Teresa RODRIGUEZ-RUBIO",125033,296,300,98.67,False
"Mara BIZZOTTO",97198,9613,9746,98.64,True
"Dobromir SOŚNIERZ",192298,2738,2777,98.60,True
"Ivan JAKOVČIĆ",124754,9604,9746,98.54,True
"Czesław HOC",135540,7404,7514,98.54,True
"Michaela ŠOJDROVÁ",124710,9601,9746,98.51,True
"Vladimír MAŇKA",28192,9589,9746,98.39,True
"Lieve WIERINCK",183022,6364,6473,98.32,True
"Ernest MARAGALL",124933,4640,4725,98.20,False
"Sławomir KŁOSOWSKI",135541,7378,7514,98.19,True
"Claude ROLIN",125107,9565,9746,98.14,True
"Matthijs van MILTENBURG",125022,9565,9746,98.14,True
"Christel SCHALDEMOSE",37312,9563,9746,98.12,True
"Beata GOSIEWSKA",124900,9562,9746,98.11,True
"Marco VALLI",124778,9558,9746,98.07,True
"Sophia in 't VELD",28266,9555,9746,98.04,True
"Jan HUITEMA",58789,9546,9746,97.95,True
"Carlos ZORRINHO",124739,9545,9746,97.94,True
"Dita CHARANZOVÁ",124708,9543,9746,97.92,True
"Lidia Joanna GERINGER de OEDENBERG",28377,9542,9746,97.91,True
"Jordi SOLÉ",185974,4914,5021,97.87,True
"Adam SZEJNFELD",124890,9524,9746,97.72,True
"Piernicola PEDICINI",124844,9522,9746,97.70,True
"Mirosław PIOTROWSKI",28341,9522,9746,97.70,True
"Eleonora EVI",124779,9520,9746,97.68,True
"Elisabeth MORIN-CHARTIER",38596,9511,9746,97.59,True
"Bart STAES",4751,9509,9746,97.57,True
"Claudia ȚAPARDEL",124793,9509,9746,97.57,True
"Seán KELLY",96668,9507,9746,97.55,True
"Wajid KHAN",188624,4135,4239,97.55,True
"Georges BACH",97293,9502,9746,97.50,True
"Janusz ZEMKE",96784,9502,9746,97.50,True
"Claudia SCHMIDT",125016,9501,9746,97.49,True
"Herbert DORFMANN",96787,9497,9746,97.45,True
"Maria GRAPINI",124785,9497,9746,97.45,True
"Fernando MAURA BARANDIARÁN",125039,2005,2058,97.42,False
"Svetoslav Hristov MALINOV",111027,9494,9746,97.41,True
"Elisabetta GARDINI",58758,9485,9746,97.32,True
"Peter JAHR",96772,9479,9746,97.26,True
"Doru-Claudian FRUNZULICĂ",124790,9478,9746,97.25,True
"Tatjana ŽDANOKA",28619,6540,6726,97.23,False
"Pedro SILVA PEREIRA",124747,9471,9746,97.18,True
"Lucy ANDERSON",124949,9469,9746,97.16,True
"Vladimir URUTCHEV",38601,9467,9746,97.14,True
"Tania GONZÁLEZ PEÑAS",127330,9458,9746,97.04,True
"Olle LUDVIGSSON",96673,9458,9746,97.04,True
"Edouard MARTIN",124947,9455,9746,97.01,True
"Helga STEVENS",125105,9452,9746,96.98,True
"Michael DETJEN",190799,3241,3344,96.92,True
"Stanislav POLČÁK",124704,9442,9746,96.88,True
"Theodor Dumitru STOLOJAN",39721,9442,9746,96.88,True
"Sofia RIBEIRO",124733,9438,9746,96.84,True
"Ivan ŠTEFANEC",124929,9434,9746,96.80,True
"José BLANCO LÓPEZ",125044,9431,9746,96.77,True
"Caroline NAGTEGAAL",190519,3517,3636,96.73,True
"Pablo IGLESIAS",125031,1589,1643,96.71,False
"Julia REDA",124816,9424,9746,96.70,True
"Liisa JAAKONSAARI",96684,9420,9746,96.66,True
"Lukas MANDL",190713,3417,3537,96.61,True
"Gianluca BUONANNO",124869,3287,3403,96.59,False
"Evelyn REGNER",96998,9411,9746,96.56,True
"Thomas MANN",1922,9409,9746,96.54,True
"Tunne KELAM",28424,9408,9746,96.53,True
"Guillaume BALAS",124744,9404,9746,96.49,True
"Jasenko SELIMOVIC",134243,7928,8217,96.48,True
"Vilija BLINKEVIČIŪTĖ",96681,9402,9746,96.47,True
"Evelyne GEBHARDT",1913,9402,9746,96.47,True
"Roberto GUALTIERI",96892,9401,9746,96.46,True
"Karine GLOANEC MAURIN",193080,2225,2308,96.40,True
"Ska KELLER",96734,9395,9746,96.40,True
"Pascal DURAND",124693,9392,9746,96.37,True
"Anja HAZEKAMP",125023,9392,9746,96.37,True
"Derek VAUGHAN",96918,9392,9746,96.37,True
"Charles TANNOCK",4521,9388,9746,96.33,True
"Andor DELI",124714,9386,9746,96.31,True
"Bodil VALERO",124993,9386,9746,96.31,True
"Paul RÜBIG",2278,9382,9746,96.27,True
"Mirja VEHKAPERÄ",193269,2219,2307,96.19,True
"Pascal ARIMONT",24922,9374,9746,96.18,True
"Bronis ROPĖ",125214,9370,9746,96.14,True
"Evžen TOŠENOVSKÝ",96713,9369,9746,96.13,True
"Christine REVAULT D'ALLONNES BONNEFOY",124287,9368,9746,96.12,True
"Martina DLABAJOVÁ",124709,9363,9746,96.07,True
"Angel DZHAMBAZKI",124873,9363,9746,96.07,True
"Ingeborg GRÄSSLE",28220,9363,9746,96.07,True
"Herbert REUL",28225,5397,5620,96.03,False
"Angélique DELAHAYE",124732,9353,9746,95.97,True
"Karoline GRASWANDER-HAINZ",133316,8269,8622,95.91,True
"Seb DANCE",124952,9344,9746,95.88,True
"Stefan ECK",124863,9343,9746,95.86,True
"Marc TARABELLA",29579,9342,9746,95.85,True
"Julie WARD",124963,9340,9746,95.83,True
"Tomáš ZDECHOVSKÝ",124713,9338,9746,95.81,True
"Ramón Luis VALCÁRCEL SISO",125032,9337,9746,95.80,True
"Tilly METZ",193292,2167,2262,95.80,True
"Xabier BENITO ZILUAGA",135490,7340,7662,95.80,True
"Brando BENIFEI",124867,9336,9746,95.79,True
"Branislav ŠKRIPEK",124927,9336,9746,95.79,True
"Andrejs MAMIKINS",124746,9333,9746,95.76,True
"Tokia SAÏFI",4345,9332,9746,95.75,True
"Clara Eugenia AGUILERA GARCÍA",125045,9326,9746,95.69,True
"Carlos COELHO",1892,9317,9746,95.60,True
"Othmar KARAS",4246,9316,9746,95.59,True
"Lorenzo FONTANA",96993,6661,6969,95.58,False
"Kosma ZŁOTOWSKI",124884,9314,9746,95.57,True
"Luigi MORGANO",124788,9306,9746,95.49,True
"Eider GARDIAZABAL RUBIAL",96991,9301,9746,95.43,True
"Luke Ming FLANAGAN",124985,9298,9746,95.40,True
"Esteban GONZÁLEZ PONS",125027,9297,9746,95.39,True
"John HOWARTH",188636,4043,4239,95.38,True
"Mylène TROSZCZYNSKI",124758,9295,9746,95.37,True
"Nathalie GRIESBECK",28208,9293,9746,95.35,True
"Liliana RODRIGUES",125099,9291,9746,95.33,True
"Markus PIEPER",28224,9288,9746,95.30,True
"Gabriele PREUSS",124888,9285,9746,95.27,True
"Alain CADEC",96849,9284,9746,95.26,True
"Julia PITERA",124898,9279,9746,95.21,True
"Daniele VIOTTI",124791,9279,9746,95.21,True
"Anna ZÁBORSKÁ",23894,9278,9746,95.20,True
"Lampros FOUNTOULIS",125070,9277,9746,95.19,True
"Monika VANA",124934,9276,9746,95.18,True
"Ricardo SERRÃO SANTOS",124741,9274,9746,95.16,True
"Robert Jarosław IWASZKIEWICZ",124886,9272,9746,95.14,True
